Year,Month,Australia,Austria,Belgium,Bulgaria,Canada,Czech Rep.,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Liechtenstein,Luxembourg,Netherlands,Norway,Poland,Portugal,Rep. of Korea,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom of Great Britain and Northern Ireland,USA (EOIR),New Zealand,USA (INS/DHS),Cyprus,Iceland,Japan,Croatia,Estonia,Latvia,Malta,Serbia and Kosovo: S/RES/1244 (1999),Lithuania,Albania,Montenegro,The former Yugoslav Rep. of Macedonia,Bosnia and Herzegovina,Italy
1999,January,574,1366,1956,81,2209,602,675,101,1760,8216,167,907,234,73,241,3556,548,226,34,0,21,54,40,664,942,3953,514,4710,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,February,681,1150,1770,75,1893,429,403,89,1996,7333,80,671,234,77,212,2645,560,210,17,1,43,32,49,621,755,3664,450,4190,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,March,951,1373,2022,121,2110,582,570,98,2546,7925,95,1179,358,46,184,2642,707,296,19,0,64,115,56,792,851,3694,446,5045,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,April,772,1658,1886,191,2131,568,641,122,2358,6491,66,1536,315,80,333,2554,888,235,12,1,369,53,84,687,866,3159,409,4905,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,May,740,1942,2074,188,2088,603,555,204,2130,6911,183,1459,381,77,779,2929,957,196,21,1,210,64,60,777,820,4879,501,5365,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,June,649,2663,2946,147,2210,536,470,486,2426,9640,152,997,453,106,605,3101,1062,180,33,0,100,105,59,731,860,9328,549,6220,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,July,776,1753,2774,41,2545,610,516,813,2894,9408,65,868,571,45,209,3202,1211,222,35,0,62,74,39,695,952,5556,551,6595,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,August,756,1636,4347,112,2905,582,386,93,2847,8905,65,903,962,6,79,3527,1070,272,21,0,204,88,59,772,1044,2936,633,7115,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,September,776,1708,4747,62,3397,699,406,181,2861,8429,257,865,938,3,87,3443,782,209,51,1,165,262,67,778,1008,2101,780,7365,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,October,811,1452,3242,69,3003,553,455,176,2880,7505,157,752,1051,0,46,3864,722,247,26,0,173,177,125,707,975,1811,852,6295,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
