Year,Month,Austria,Belgium,Bulgaria,Czech Rep.,Denmark,Finland,France,Germany,Greece,Hungary,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,Turkey,United Kingdom,Iceland,Italy
1999,January,1366,1956,81,602,675,101,1760,8216,167,907,241,3556,548,226,34,664,942,3953,514,4710,0,0
1999,February,1150,1770,75,429,403,89,1996,7333,80,671,212,2645,560,210,17,621,755,3664,450,4190,0,0
1999,March,1373,2022,121,582,570,98,2546,7925,95,1179,184,2642,707,296,19,792,851,3694,446,5045,0,0
1999,April,1658,1886,191,568,641,122,2358,6491,66,1536,333,2554,888,235,12,687,866,3159,409,4905,0,0
1999,May,1942,2074,188,603,555,204,2130,6911,183,1459,779,2929,957,196,21,777,820,4879,501,5365,0,0
1999,June,2663,2946,147,536,470,486,2426,9640,152,997,605,3101,1062,180,33,731,860,9328,549,6220,0,0
1999,July,1753,2774,41,610,516,813,2894,9408,65,868,209,3202,1211,222,35,695,952,5556,551,6595,0,0
1999,August,1636,4347,112,582,386,93,2847,8905,65,903,79,3527,1070,272,21,772,1044,2936,633,7115,0,0
1999,September,1708,4747,62,699,406,181,2861,8429,257,865,87,3443,782,209,51,778,1008,2101,780,7365,0,0
1999,October,1452,3242,69,553,455,176,2880,7505,157,752,46,3864,722,247,26,707,975,1811,852,6295,0,0
1999,November,1829,3322,127,723,918,234,2976,7476,160,668,91,3903,646,249,16,637,928,1934,767,6415,0,0
1999,December,1600,4691,135,727,472,510,3159,7092,81,694,46,3934,1007,322,22,544,1230,1495,770,7175,0,0
2000,January,1334,2896,130,593,738,444,3286,6618,158,651,52,4125,594,155,19,563,980,1466,321,6105,0,0
2000,February,1312,2385,117,382,1092,283,3610,6117,218,476,40,3840,575,345,14,682,945,1387,296,6100,0,0
2000,March,1132,2529,154,513,1300,289,3757,6204,356,873,85,3571,567,442,15,564,1077,1567,347,6690,0,0
2000,April,1117,2545,107,557,502,304,2829,5004,87,635,58,3104,439,306,17,583,873,1118,360,5905,0,0
2000,May,1499,2849,88,542,774,283,3056,6316,293,794,0,3053,1792,342,14,627,950,1555,569,6185,0,0
2000,June,1637,2761,107,939,829,378,2917,5747,195,615,73,3473,2037,265,25,525,869,1285,686,5910,0,0
2000,July,1870,3185,107,665,911,459,3110,6529,440,656,32,3702,921,327,25,591,1107,1333,858,6255,0,0
2000,August,1594,4446,120,691,864,190,3229,7507,77,568,37,3997,983,364,19,595,1391,1507,880,6610,0,0
2000,September,1815,4760,157,749,793,147,2877,7166,251,611,67,3451,1044,441,14,497,1467,1650,967,6630,0,0
2000,October,1767,5287,246,916,906,143,3553,7684,129,727,52,3981,770,450,14,612,1997,1731,710,7030,0,0
2000,November,1646,4408,275,1230,898,137,3374,7909,95,661,38,3927,637,497,16,594,2130,1751,607,7245,0,0
2000,December,1561,4640,147,992,470,113,2990,5963,705,532,51,3668,483,462,10,604,2517,1356,408,5815,0,0
2001,January,1876,3239,197,1228,1166,122,3015,7583,121,580,59,3697,483,342,24,833,1735,1655,343,6845,1,0
2001,February,2394,1734,229,1222,897,109,3771,6220,106,506,49,2805,502,333,17,810,1290,1375,273,5955,1,0
2001,March,3208,1788,145,1632,968,169,4545,7251,241,769,57,3086,557,303,18,745,1297,1282,443,6160,3,0
2001,April,2840,1773,119,1537,1030,172,4067,6182,92,686,47,2781,619,301,21,683,1280,1313,441,5035,10,0
2001,May,2523,1960,194,1596,953,90,4066,6941,171,600,50,2549,776,369,18,631,1580,1540,485,5285,3,0
