"Geslacht";"Leeftijd";"Nationaliteit";"Perioden";"Eerste asielverzoeken (personen) (aantal)";"Nareizigers (personen) (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 april";"    2220";"     850"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 mei";"    2530";"     915"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 juni";"    2575";"    1400"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 juli";"    2745";"    1615"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 augustus";"    3840";"    1065"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 september";"    4435";"     965"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 oktober";"    4075";"     660"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 november";"    4070";"     380"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2022 december";"    2595";"     500"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 januari*";"    2490";"     390"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 februari*";"    2195";"     510"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 maart*";"    2225";"     995"
"Totaal mannen en vrouwen ";"Totaal";"Totaal";"2023 april*";"    2355";"     810"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 april";"     305";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 mei";"     120";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 juni";"     205";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 juli";"     305";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 augustus";"     530";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 september";"     245";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 oktober";"     120";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 november";"     110";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2022 december";"      70";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 januari*";"      65";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 februari*";"      85";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 maart*";"      40";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Afghaans ";"2023 april*";"      40";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 april";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Algerijns ";"2022 mei";"      90";"       0"
